"";"tuman_author";"tuman_authorb";"tu_warningauthor1";"tu_warningauthor2";"tu_warningauthor3";"tu_warningauthor1b";"tu_warningauthor2b";"tu_warningauthor3b";"tu_warningext1";"tu_warningext2";"tu_warningext3";"tu_warningext1b";"tu_warningext2b";"tu_warningext3b";"tu_manext";"tu_manextb";"tu_manpre";"tu_manpreb";"tu_manpeer";"tu_manpeerb";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"quality_control";"standard_procedure";"gender";"gender_3_TEXT";"age";"knowledge_peerreview";"knowledge_preprints";"familiar";"education";"condition";"credibility"
"809";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;4;5;5;5;4;"2";"";30;"1";"1";4;4;"preprint_noinfo";4,6
"811";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;4;4;5;6;7;"1";"";45;"1";"1";5;4;"peer-review";4,6
"812";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";2;2;2;1;2;1;1;"1";"";20;"2";"2";1;3;"preprint_noinfo";1,8
"814";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";2;4;1;5;2;2;3;"2";"";47;"1";"2";3;3;"preprint_noinfo";2,8
"826";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;1;1;7;7;7;"2";"";32;"1";"1";7;3;"peer-review";4,6
"829";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";1;4;1;2;3;6;2;"1";"";49;"1";"1";3;2;"preprint_noinfo";2,2
"831";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;4;7;2;6;6;"2";"";31;"1";"1";3;3;"peer-review";4,8
"836";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;6;1;1;1;1;"1";"";32;"1";"2";2;3;"peer-review";3,4
"840";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;6;5;5;3;2;6;"1";"";35;"2";"2";6;3;"preprint_noinfo";4,6
"844";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;7;4;6;3;6;4;"2";"";28;"2";"2";2;3;"preprint_noinfo";5
"849";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";2;1;1;3;6;7;7;"1";"";39;"1";"2";5;3;"peer-review";2,6
"852";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;3;1;4;5;5;6;"1";"";31;"1";"2";3;2;"preprint_noinfo";3,2
"853";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"5";6;7;5;6;7;6;7;"1";"";32;"1";"1";7;3;"peer-review";6,2
"854";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;3;7;7;5;6;"2";"";38;"2";"2";4;3;"peer-review";6,2
"855";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;5;4;3;5;5;"2";"";58;"1";"1";6;4;"peer-review";4,4
"856";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;4;3;5;6;6;7;"1";"";45;"1";"2";2;3;"peer-review";4,6
"858";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";2;2;2;2;2;4;3;"1";"";28;"1";"2";2;2;"peer-review";2
"867";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;5;7;7;7;6;"1";"";26;"2";"2";7;3;"peer-review";6
"868";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;5;4;4;4;4;"1";"";35;"2";"2";2;3;"preprint_noinfo";4,4
"872";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;5;6;5;7;7;"1";"";54;"2";"2";3;2;"preprint_noinfo";5
"875";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;4;2;5;1;2;3;"1";"";30;"1";"1";4;4;"peer-review";3,2
"876";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;3;1;7;4;2;4;"2";"";58;"1";"2";2;2;"preprint_noinfo";4
"880";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;4;4;4;4;5;5;"1";"";28;"1";"2";2;3;"preprint_noinfo";4
"882";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;7;3;3;5;5;"2";"";35;"2";"2";2;3;"peer-review";5,4
"885";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;6;2;6;2;2;2;"1";"";41;"2";"2";1;2;"preprint_noinfo";4
"888";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;4;2;4;6;3;4;"2";"";30;"2";"2";4;2;"preprint_noinfo";4
"897";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;2;2;6;4;5;4;"2";"";47;"2";"2";2;3;"preprint_noinfo";3,6
"898";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;5;6;6;5;6;"2";"";47;"1";"1";7;4;"peer-review";5,6
"904";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;4;5;6;5;5;"2";"";30;"2";"2";2;3;"peer-review";5,2
"906";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;5;3;2;2;2;2;"1";"";37;"1";"2";2;4;"preprint_noinfo";3,2
"912";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;5;5;5;4;5;"2";"";27;"1";"2";4;3;"peer-review";5
"914";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;1;6;2;1;4;"2";"";62;"1";"1";5;4;"preprint_noinfo";3,6
"917";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;6;6;4;4;5;4;"1";"";23;"2";"2";5;3;"preprint_noinfo";5
"922";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";3;4;2;6;1;3;6;"1";"";41;"1";"2";5;3;"peer-review";3,2
"927";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"4";"";"";6;7;7;7;6;6;7;"1";"";29;"1";"1";6;4;"preprint_noinfo";6,6
"929";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"4";"";"";6;4;6;5;7;7;6;"1";"";27;"1";"1";7;4;"preprint_noinfo";5,6
"930";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;4;5;5;5;5;"1";"";23;"1";"2";3;3;"peer-review";4,6
"933";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;6;6;6;6;6;6;"1";"";31;"1";"2";6;3;"peer-review";6
"936";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";2;2;5;6;6;2;2;"1";"";24;"2";"2";2;2;"preprint_noinfo";4,2
"940";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;3;2;6;3;3;5;"1";"";53;"1";"2";4;4;"peer-review";4,2
"950";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";3;5;4;5;3;5;5;"2";"";36;"1";"2";5;4;"peer-review";4
"951";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"5";6;6;5;6;6;6;7;"2";"";30;"1";"1";6;4;"peer-review";5,8
"953";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;1;7;6;4;4;"1";"";56;"2";"1";5;4;"preprint_noinfo";5,2
"959";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";2;5;3;5;5;6;3;"1";"";51;"1";"1";4;3;"preprint_noinfo";4
"962";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;1;2;2;3;3;5;"1";"";23;"2";"2";1;3;"preprint_noinfo";2,6
"965";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"4";"";"";4;4;5;5;5;5;5;"1";"";44;"2";"2";6;2;"preprint_noinfo";4,6
"966";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;5;2;6;2;6;3;"2";"";50;"2";"2";2;3;"preprint_noinfo";3,8
"968";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;4;2;4;2;3;2;"2";"";33;"1";"2";4;3;"preprint_noinfo";3,2
"972";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;5;2;6;6;5;5;"2";"";30;"1";"2";3;3;"preprint_noinfo";5,2
"977";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"4";"";"";7;7;7;7;6;6;7;"1";"";52;"1";"1";6;4;"preprint_noinfo";6,8
"980";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";3;5;5;4;4;4;5;"1";"";23;"1";"2";3;2;"peer-review";4,2
"984";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;3;5;2;4;3;"1";"";31;"1";"2";2;3;"preprint_noinfo";4,2
"986";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"5";5;5;5;6;6;5;6;"2";"";28;"1";"1";5;3;"peer-review";5,4
"990";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;5;2;5;6;4;4;"1";"";28;"1";"2";2;4;"preprint_noinfo";4,2
"991";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;6;4;5;6;5;6;"2";"";35;"1";"2";5;4;"peer-review";5,4
"994";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;2;3;5;2;3;2;"1";"";21;"1";"2";3;2;"preprint_noinfo";3,4
"1003";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;3;7;4;4;5;"2";"";63;"2";"2";3;2;"peer-review";5
"1014";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;5;4;5;4;5;"1";"";34;"2";"2";3;3;"preprint_noinfo";4,6
"1015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;3;6;4;5;7;"1";"";21;"2";"2";3;3;"peer-review";4,8
"1018";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;2;1;2;2;1;3;"1";"";31;"1";"2";6;4;"preprint_noinfo";2
"1020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;4;4;5;4;6;"2";"";31;"1";"1";6;3;"peer-review";4,4
"1022";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;5;6;6;5;5;7;"1";"";60;"1";"1";6;4;"preprint_noinfo";5,4
"1026";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;4;1;6;1;7;4;"2";"";56;"2";"2";1;2;"preprint_noinfo";3,6
"1038";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;6;7;7;7;6;"2";"";47;"2";"2";6;4;"preprint_noinfo";6,2
"1039";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;4;7;7;6;7;"2";"";69;"1";"1";2;2;"peer-review";6,2
"1044";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;7;1;6;4;5;4;"1";"";55;"1";"2";5;3;"preprint_noinfo";4,2
"1045";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;3;4;3;2;5;4;"2";"";24;"2";"2";3;3;"peer-review";3,4
"1046";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";2;3;1;6;1;3;2;"2";"";68;"2";"2";1;2;"preprint_noinfo";2,6
"1050";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;1;6;2;6;5;"2";"";35;"1";"1";7;3;"peer-review";3,8
"9";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"2";"5";"4";"";"";"";"";4;5;5;4;5;4;5;"1";"";36;"1";"2";3;4;"preprint_info_external";4,6
"14";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;5;4;5;5;4;6;"1";"";23;"1";"2";4;3;"preprint_info_authors";5
"16";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;6;2;5;4;6;7;"1";"";28;"2";"2";1;2;"preprint_info_authors";4,6
"27";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;3;4;5;4;3;3;"2";"";37;"2";"2";1;3;"preprint_info_authors";4
"29";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;5;3;5;5;2;3;"2";"";34;"1";"2";2;3;"preprint_info_authors";4,8
"35";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";2;2;2;2;2;3;2;"2";"";26;"1";"2";5;3;"preprint_info_external";2
"36";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7;5;1;7;2;3;1;"2";"";53;"1";"2";2;3;"preprint_info_authors";4,4
"38";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";5;5;2;2;3;2;1;"1";"";27;"1";"2";3;3;"preprint_info_external";3,4
"41";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;5;4;6;5;4;4;"1";"";44;"1";"2";3;3;"preprint_info_authors";5,2
"46";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";4;4;4;4;4;3;3;"2";"";25;"1";"1";7;4;"preprint_info_external";4
"51";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";7;6;4;5;5;7;6;"1";"";36;"2";"2";6;4;"preprint_info_external";5,4
"53";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;4;2;6;4;2;2;"1";"";46;"1";"2";2;3;"preprint_info_authors";4,2
"57";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";7;7;1;7;1;6;2;"2";"";39;"2";"2";1;3;"preprint_info_external";4,6
"59";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;6;4;7;5;7;5;"1";"";39;"2";"2";2;3;"preprint_info_authors";5,4
"60";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";5;4;3;5;5;4;5;"1";"";37;"2";"2";1;4;"preprint_info_external";4,4
"62";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;7;2;5;5;5;5;"1";"";46;"1";"2";4;3;"preprint_info_authors";4,8
"65";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3;4;2;3;4;2;3;"1";"";40;"2";"2";1;3;"preprint_info_authors";3,2
"66";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;2;3;6;3;2;4;"1";"";41;"1";"2";2;2;"preprint_info_authors";4
"68";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"5";"4";"";"";"";"";5;3;4;5;4;5;4;"1";"";34;"2";"2";5;3;"preprint_info_external";4,2
"70";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3;6;2;3;6;2;3;"1";"";39;"1";"2";1;2;"preprint_info_authors";4
"78";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;6;3;6;5;4;1;"1";"";22;"1";"2";5;3;"preprint_info_authors";5
"86";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";6;6;5;6;2;1;6;"1";"";21;"1";"1";6;3;"preprint_info_external";5
"87";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"5";"4";"";"";"";"";5;5;6;5;6;6;5;"2";"";23;"2";"2";3;3;"preprint_info_external";5,4
"94";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";5;4;2;4;3;5;3;"1";"";29;"1";"2";3;3;"preprint_info_external";3,6
"95";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3;2;4;5;6;3;4;"1";"";32;"1";"2";4;2;"preprint_info_authors";4
"96";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";7;4;1;5;2;2;4;"1";"";43;"1";"1";3;2;"preprint_info_external";3,8
"102";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";5;5;2;4;4;3;3;"1";"";24;"2";"2";2;3;"preprint_info_external";4
"103";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";4;3;1;2;4;2;1;"2";"";67;"1";"2";5;3;"preprint_info_external";2,8
"106";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";4;4;3;6;6;4;6;"1";"";53;"2";"2";1;2;"preprint_info_external";4,6
"107";"7";"4";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;6;4;5;5;3;3;"2";"";35;"1";"1";6;3;"preprint_info_authors";5
"114";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7;7;7;6;6;7;6;"1";"";44;"1";"1";6;3;"preprint_info_authors";6,6
"115";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;5;5;5;5;6;1;"2";"";38;"1";"2";2;2;"preprint_info_authors";5
"117";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";3;5;3;3;2;3;3;"1";"";57;"1";"1";6;3;"preprint_info_external";3,2
"118";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";3;2;2;2;2;2;1;"2";"";29;"1";"2";4;4;"preprint_info_external";2,2
"121";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;3;1;2;1;1;1;"1";"";60;"2";"2";2;3;"preprint_info_authors";2,6
"123";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";5;5;5;6;4;5;5;"1";"";35;"2";"2";5;3;"preprint_info_external";5
"127";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"2";"4";"";"";"";"";"";6;6;5;6;4;5;5;"1";"";28;"1";"1";5;3;"preprint_info_external";5,4
"128";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2;5;6;6;7;2;3;"2";"";64;"1";"2";2;4;"preprint_info_authors";5,2
"134";"4";"";"1";"1";"1";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";7;7;6;6;7;6;5;"1";"";62;"2";"2";6;3;"preprint_info_authors";6,6
"136";"8";"4";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7;7;4;5;4;5;5;"1";"";44;"2";"1";5;3;"preprint_info_authors";5,4
"137";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"2";"4";"";"";"";"";"";4;4;5;4;5;4;5;"2";"";36;"2";"2";1;4;"preprint_info_external";4,4
"138";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"2";"4";"";"";"";"";"";6;5;6;6;6;6;6;"2";"";26;"1";"1";6;3;"preprint_info_external";5,8
"139";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;5;6;7;3;5;5;"2";"";34;"1";"2";3;3;"preprint_info_authors";5,2
"140";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";5;5;2;3;5;4;4;"1";"";36;"1";"2";4;3;"preprint_info_external";4
"151";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;5;3;6;4;3;4;"2";"";60;"1";"1";3;2;"preprint_info_authors";4,6
"157";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;3;3;5;5;2;2;"2";"";35;"1";"2";5;2;"preprint_info_authors";4,2
"171";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;4;5;7;2;4;1;"1";"";49;"1";"2";4;3;"preprint_info_authors";4,8
"174";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";5;5;5;6;5;5;6;"2";"";68;"1";"1";5;3;"preprint_info_external";5,2
"176";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";5;7;7;5;4;2;5;"2";"";24;"1";"1";7;4;"preprint_info_external";5,6
"179";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;5;2;5;3;2;1;"2";"";71;"1";"2";3;2;"preprint_info_authors";4,2
"180";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2;4;2;5;4;2;2;"1";"";39;"1";"2";4;4;"preprint_info_authors";3,4
"184";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";7;1;1;1;1;1;1;"2";"";31;"1";"2";7;4;"preprint_info_external";2,2
"188";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";5;5;6;4;5;6;6;"2";"";30;"2";"1";4;3;"preprint_info_external";5
"189";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";3;3;5;5;5;5;2;"2";"";27;"1";"2";5;3;"preprint_info_external";4,2
"192";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";5;4;1;7;4;3;1;"2";"";33;"1";"2";5;2;"preprint_info_external";4,2
"194";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;3;3;6;3;4;5;"2";"";33;"1";"2";2;2;"preprint_info_authors";4
"203";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;1;1;1;1;1;1;"2";"";48;"1";"2";2;3;"preprint_info_authors";1
"205";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";6;5;2;7;6;5;7;"1";"";69;"1";"2";3;4;"preprint_info_external";5,2
"208";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"2";"5";"4";"";"";"";"";5;2;4;2;3;2;2;"1";"";38;"2";"2";3;3;"preprint_info_external";3,2
"211";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";4;5;1;4;5;3;5;"2";"";51;"2";"2";1;2;"preprint_info_external";3,8
"214";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";6;6;4;5;4;5;5;"1";"";37;"1";"2";3;3;"preprint_info_external";5
"217";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"2";"4";"";"";"";"";"";6;7;7;7;6;6;7;"1";"";32;"1";"1";7;4;"preprint_info_external";6,6
"221";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;3;4;3;4;4;5;"2";"";27;"2";"2";2;3;"preprint_info_authors";3,6
"223";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";4;6;5;6;5;3;5;"1";"";29;"1";"1";5;3;"preprint_info_external";5,2
"224";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";5;6;1;7;2;3;1;"1";"";34;"1";"2";3;3;"preprint_info_external";4,2
"226";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;6;4;4;5;3;3;"1";"";54;"1";"2";3;3;"preprint_info_authors";4,8
"233";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";4;3;2;3;2;2;2;"2";"";25;"1";"1";7;4;"preprint_info_external";2,8
"236";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";6;5;3;3;3;1;1;"1";"";25;"1";"2";6;3;"preprint_info_external";4
"238";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";3;2;2;4;1;2;3;"1";"";27;"1";"2";4;4;"preprint_info_external";2,4
"241";"7";"4";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;7;7;6;6;6;5;"1";"";29;"1";"1";6;3;"preprint_info_authors";6,4
"247";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7;6;2;4;5;4;5;"2";"";45;"1";"2";4;4;"preprint_info_authors";4,8
"248";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;4;4;7;5;3;3;"2";"";69;"1";"2";4;2;"preprint_info_authors";5,2
"250";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7;7;2;6;3;5;5;"1";"";31;"2";"2";1;2;"preprint_info_authors";5
"253";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;7;3;7;3;3;6;"2";"";32;"2";"2";2;2;"preprint_info_authors";5
"257";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";6;6;6;7;6;5;1;"2";"";26;"1";"2";6;3;"preprint_info_external";6,2
"259";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";1;1;1;1;1;1;2;"1";"";34;"1";"1";7;4;"preprint_info_external";1
"260";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";5;5;4;4;5;5;5;"1";"";28;"2";"2";3;3;"preprint_info_external";4,6
"262";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;4;5;5;5;2;5;"1";"";25;"2";"2";4;2;"preprint_info_authors";5
"263";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";4;5;2;2;2;2;2;"2";"";53;"1";"2";1;4;"preprint_info_external";3
"264";"4";"";"1";"1";"1";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";7;6;6;6;7;6;7;"1";"";68;"1";"1";6;4;"preprint_info_authors";6,4
"269";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;5;4;5;5;5;5;"2";"";59;"2";"2";3;3;"preprint_info_authors";4,8
"273";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;5;3;4;5;4;5;"1";"";27;"2";"2";1;2;"preprint_info_authors";4,4
"275";"4";"";"1";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;5;3;5;2;4;5;"1";"";28;"2";"2";1;3;"preprint_info_authors";3,8
"279";"";"";"";"";"";"";"";"";"1";"1";"2";"";"";"";"4";"";"";"";"";"";6;3;3;5;7;5;4;"2";"";42;"2";"2";3;4;"preprint_info_external";4,8
