"";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"quality_control";"standard_procedure";"Attention.check";"gender";"age";"knowledge_peerreview";"knowledge_preprints";"condition";"credibility"
"720";6;5;5;5;5;6;5;1;"1";39;"2";"2";"preprint_noinfo";5,2
"721";5;5;5;5;6;5;4;1;"1";46;"2";"1";"preprint_info";5,2
"722";6;2;4;7;1;5;4;1;"1";34;"1";"2";"preprint_info";4
"723";6;6;6;5;5;5;6;1;"1";40;"1";"1";"preprint_noinfo";5,6
"724";4;5;5;5;5;5;4;1;"2";32;"2";"2";"preprint_noinfo";4,8
"725";5;5;2;2;3;4;2;1;"1";36;"1";"2";"preprint_info";3,4
"726";5;3;1;4;5;3;5;1;"1";42;"1";"2";"preprint_noinfo";3,6
"727";7;6;6;7;6;6;5;1;"2";45;"1";"1";"preprint_info";6,4
"728";7;1;1;7;3;5;6;1;"1";33;"1";"2";"preprint_noinfo";3,8
"729";7;5;7;7;6;7;7;1;"1";29;"1";"2";"preprint_noinfo";6,4
"730";6;6;6;4;4;6;5;1;"2";35;"1";"2";"preprint_noinfo";5,2
"731";7;6;6;6;7;7;6;1;"1";30;"2";"2";"preprint_info";6,4
"732";5;2;3;6;4;5;5;1;"2";58;"2";"2";"peer-review";4
"733";3;3;3;3;3;3;3;1;"1";36;"1";"2";"preprint_info";3
"734";4;5;4;5;3;4;4;1;"2";47;"1";"2";"preprint_noinfo";4,2
"735";4;6;1;6;5;3;5;1;"1";40;"1";"2";"preprint_noinfo";4,4
"736";5;5;6;7;5;6;4;1;"1";23;"1";"1";"preprint_noinfo";5,6
"737";5;2;1;5;2;4;5;1;"1";36;"2";"2";"peer-review";3
"738";2;3;3;6;4;3;3;1;"1";33;"2";"2";"preprint_noinfo";3,6
"739";4;5;3;4;5;5;5;1;"1";37;"1";"2";"peer-review";4,2
"740";3;3;2;2;1;1;2;1;"1";50;"1";"2";"preprint_noinfo";2,2
"741";4;5;2;1;3;4;4;1;"1";22;"1";"2";"preprint_noinfo";3
"742";5;5;2;3;4;4;4;1;"2";32;"1";"2";"preprint_noinfo";3,8
"743";3;3;5;6;5;4;5;1;"2";34;"1";"2";"peer-review";4,4
"744";4;7;6;6;7;6;6;1;"1";40;"1";"1";"peer-review";6
"745";5;5;6;6;5;7;6;1;"2";26;"2";"2";"preprint_noinfo";5,4
"746";4;6;4;5;4;6;4;1;"1";31;"1";"2";"peer-review";4,6
"747";6;6;6;6;7;7;5;1;"2";29;"2";"2";"preprint_noinfo";6,2
"748";6;6;6;6;6;6;6;1;"1";57;"1";"1";"preprint_info";6
"749";6;6;5;6;5;6;4;1;"2";47;"1";"1";"preprint_info";5,6
"750";6;4;5;5;3;4;5;1;"1";37;"1";"2";"preprint_info";4,6
"751";6;6;7;6;7;5;6;1;"1";58;"2";"2";"preprint_noinfo";6,4
"752";6;7;6;6;6;6;7;1;"1";40;"1";"1";"peer-review";6,2
"753";7;5;6;6;6;5;6;1;"1";30;"1";"1";"preprint_info";6
"754";6;5;5;3;5;5;4;1;"1";64;"2";"2";"preprint_noinfo";4,8
"755";4;4;3;3;4;4;4;1;"1";32;"1";"2";"peer-review";3,6
"756";7;7;1;7;3;6;5;1;"1";44;"1";"2";"preprint_info";5
"757";6;2;1;7;1;2;2;1;"1";31;"1";"2";"preprint_noinfo";3,4
"758";5;4;4;5;5;1;2;1;"1";38;"1";"2";"preprint_info";4,6
"759";6;6;6;6;5;5;6;1;"2";34;"2";"2";"preprint_info";5,8
"760";6;5;1;6;3;3;3;1;"2";36;"1";"2";"peer-review";4,2
"761";4;5;5;4;2;4;4;1;"2";36;"1";"2";"peer-review";4
"762";5;2;3;3;2;3;5;1;"1";31;"2";"2";"peer-review";3
"763";5;5;5;5;4;6;5;1;"1";28;"2";"2";"preprint_noinfo";4,8
"764";5;2;2;5;4;3;3;1;"1";38;"1";"2";"preprint_noinfo";3,6
"766";3;5;5;5;3;5;5;1;"1";28;"2";"2";"peer-review";4,2
"767";5;5;5;4;4;4;4;1;"1";32;"1";"1";"preprint_info";4,6
"768";5;5;3;4;3;3;3;1;"2";38;"2";"2";"preprint_info";4
"769";6;5;4;4;5;4;4;1;"1";26;"1";"2";"preprint_noinfo";4,8
"770";4;5;5;5;5;5;6;1;"2";30;"2";"2";"peer-review";4,8
"771";6;6;5;6;2;4;5;1;"1";33;"1";"1";"preprint_info";5
"772";5;4;5;3;6;6;5;1;"2";31;"2";"2";"preprint_noinfo";4,6
"773";5;7;6;6;7;4;5;1;"1";35;"1";"1";"peer-review";6,2
"776";5;6;2;3;3;4;4;1;"2";27;"1";"2";"peer-review";3,8
"777";7;4;3;5;6;5;6;1;"1";33;"1";"1";"preprint_info";5
"778";6;7;6;7;5;6;4;1;"1";36;"1";"1";"preprint_noinfo";6,2
"779";5;5;5;5;5;6;6;1;"1";46;"2";"2";"preprint_info";5
"780";6;6;6;5;6;6;7;1;"1";32;"1";"1";"peer-review";5,8
"781";7;6;7;7;6;4;6;1;"2";47;"2";"2";"preprint_noinfo";6,6
"782";5;5;6;1;5;4;2;1;"1";48;"1";"2";"preprint_info";4,4
"784";4;5;3;5;5;3;4;1;"2";32;"1";"2";"peer-review";4,4
"785";4;5;4;3;4;4;4;1;"1";43;"2";"2";"preprint_info";4
"786";2;6;5;4;5;6;5;1;"1";27;"2";"2";"preprint_info";4,4
"787";7;4;1;7;4;1;4;1;"1";70;"2";"2";"peer-review";4,6
"788";6;5;5;7;7;7;7;1;"1";59;"1";"1";"preprint_info";6
"789";4;7;7;6;6;6;7;1;"1";22;"2";"2";"preprint_noinfo";6
"790";3;5;2;4;4;3;3;1;"2";33;"1";"2";"preprint_info";3,6
"791";4;6;1;4;1;5;5;1;"2";27;"2";"2";"peer-review";3,2
"792";4;5;1;5;1;1;3;1;"1";30;"1";"2";"preprint_info";3,2
"793";4;4;4;4;5;4;5;1;"1";36;"2";"2";"peer-review";4,2
"794";5;4;1;3;3;1;1;1;"2";25;"1";"1";"preprint_info";3,2
"795";5;7;6;2;5;3;5;1;"1";29;"1";"2";"preprint_noinfo";5
"796";3;7;6;6;5;6;6;1;"2";27;"1";"1";"preprint_noinfo";5,4
"797";3;2;1;1;2;2;5;1;"1";35;"1";"2";"peer-review";1,8
"798";6;5;6;5;6;5;6;1;"1";52;"2";"2";"preprint_noinfo";5,6
"799";3;6;3;5;6;6;6;1;"2";54;"2";"2";"peer-review";4,6
"801";5;6;6;4;7;4;6;1;"1";28;"1";"1";"peer-review";5,6
"802";6;6;7;6;7;7;6;1;"1";32;"1";"1";"peer-review";6,4
"803";4;4;4;4;4;4;5;1;"1";36;"1";"2";"preprint_info";4
"804";4;4;4;4;4;4;4;1;"2";25;"2";"2";"peer-review";4
"805";6;6;5;6;6;5;7;1;"1";32;"2";"2";"preprint_noinfo";5,8
"806";5;6;5;5;5;4;5;1;"2";38;"1";"1";"preprint_noinfo";5,2
"807";7;6;7;7;7;6;7;1;"2";31;"1";"1";"preprint_info";6,8
"809";2;5;6;3;2;3;3;1;"2";71;"2";"2";"peer-review";3,6
"810";5;5;6;5;6;6;5;1;"1";42;"2";"2";"preprint_noinfo";5,4
"812";6;5;5;5;5;6;5;1;"1";33;"2";"2";"preprint_info";5,2
"813";6;6;6;5;6;5;4;1;"2";32;"1";"1";"preprint_info";5,8
"814";5;6;6;4;6;5;6;1;"1";33;"2";"2";"peer-review";5,4
"815";7;6;6;7;6;6;7;1;"1";28;"1";"1";"peer-review";6,4
"816";7;6;7;6;6;7;6;1;"1";33;"2";"2";"preprint_info";6,4
"817";5;4;4;6;5;6;4;1;"1";28;"2";"2";"preprint_info";4,8
"818";6;6;6;6;6;6;5;1;"1";29;"1";"1";"peer-review";6
"819";4;5;5;4;4;4;5;1;"1";29;"2";"2";"preprint_noinfo";4,4
"820";4;4;5;5;5;5;3;1;"1";37;"1";"2";"peer-review";4,6
"821";5;6;4;4;7;7;7;1;"1";34;"1";"2";"peer-review";5,2
"822";5;4;4;5;6;4;4;1;"1";28;"1";"2";"peer-review";4,8
"824";6;6;2;2;4;3;5;1;"1";41;"1";"2";"peer-review";4
"825";5;7;7;4;6;6;7;1;"1";35;"1";"1";"preprint_noinfo";5,8
"826";6;5;4;5;6;5;6;1;"1";36;"2";"2";"preprint_info";5,2
"827";5;5;5;6;4;6;5;1;"1";27;"2";"2";"preprint_noinfo";5
"828";6;6;7;6;6;6;5;1;"2";30;"2";"2";"peer-review";6,2
"829";6;5;5;6;6;6;5;1;"1";38;"1";"1";"preprint_info";5,6
"830";3;2;3;5;5;3;3;1;"2";29;"2";"2";"preprint_info";3,6
"831";6;7;2;6;6;1;7;1;"2";40;"2";"2";"preprint_noinfo";5,4
"832";5;5;6;6;5;6;6;1;"2";65;"1";"1";"peer-review";5,4
"833";6;7;5;7;6;7;5;1;"2";42;"1";"1";"preprint_info";6,2
"835";6;6;7;7;7;7;6;1;"1";45;"1";"1";"peer-review";6,6
"836";6;6;6;6;7;7;6;1;"1";28;"1";"1";"preprint_info";6,2
"837";5;5;5;5;6;4;4;1;"1";25;"1";"2";"preprint_info";5,2
"838";6;5;4;5;7;4;5;1;"2";42;"2";"2";"preprint_info";5,4
"839";6;1;1;6;3;6;5;1;"2";41;"2";"2";"preprint_info";3,4
"841";1;1;1;1;1;1;1;1;"1";26;"2";"2";"preprint_noinfo";1
"842";5;5;5;5;3;5;4;1;"1";42;"2";"2";"preprint_noinfo";4,6
"843";6;5;4;6;3;5;6;1;"1";30;"1";"2";"peer-review";4,8
"844";6;7;7;6;5;7;6;1;"1";35;"2";"2";"preprint_noinfo";6,2
"845";5;5;4;6;5;4;5;1;"2";38;"2";"2";"preprint_info";5
"846";4;6;5;3;6;5;6;1;"1";45;"1";"1";"preprint_info";4,8
"847";7;6;5;6;4;6;6;1;"2";30;"1";"1";"preprint_noinfo";5,6
"848";6;6;6;5;6;6;6;1;"1";58;"1";"1";"preprint_info";5,8
"849";4;5;5;4;5;5;4;1;"1";31;"1";"1";"peer-review";4,6
"850";7;7;6;6;7;6;7;1;"2";36;"2";"2";"peer-review";6,6
"851";6;4;5;4;5;6;4;1;"1";35;"2";"2";"peer-review";4,8
"852";6;6;6;6;6;7;6;1;"2";30;"2";"2";"preprint_noinfo";6
"853";5;6;7;6;6;5;6;1;"1";36;"2";"2";"preprint_info";6
"854";6;4;2;7;4;4;4;1;"1";56;"2";"2";"preprint_noinfo";4,6
"855";5;4;1;4;2;3;4;1;"1";57;"1";"2";"preprint_noinfo";3,2
"856";6;5;5;6;6;5;6;1;"1";48;"2";"2";"preprint_noinfo";5,6
"857";6;5;4;7;7;4;6;1;"1";52;"2";"2";"preprint_info";5,8
"859";3;5;3;7;5;3;4;1;"2";39;"2";"2";"peer-review";4,6
"860";6;3;5;3;5;6;2;1;"2";45;"2";"2";"peer-review";4,4
"862";6;6;5;5;6;7;6;1;"1";32;"1";"1";"preprint_noinfo";5,6
"863";4;4;4;4;4;4;4;1;"2";29;"1";"1";"preprint_noinfo";4
"865";3;4;5;4;4;4;4;1;"1";25;"2";"2";"preprint_info";4
"867";5;5;5;2;5;7;6;1;"2";30;"1";"1";"preprint_info";4,4
"870";4;6;5;5;6;4;5;1;"1";32;"1";"1";"preprint_noinfo";5,2
"873";5;5;5;6;6;3;6;1;"1";52;"1";"1";"preprint_info";5,4
"875";5;6;6;6;5;6;5;1;"2";47;"1";"1";"peer-review";5,6
"877";3;3;5;6;7;7;6;1;"1";21;"2";"2";"preprint_info";4,8
"878";4;5;4;7;5;3;4;1;"2";35;"2";"2";"peer-review";5
"879";5;6;5;3;4;4;5;1;"1";34;"2";"2";"peer-review";4,6
"880";4;5;2;3;5;3;5;1;"1";31;"1";"2";"preprint_info";3,8
"882";6;6;6;6;6;6;6;1;"1";30;"1";"1";"preprint_info";6
"885";3;3;2;4;3;4;2;1;"1";65;"1";"2";"preprint_info";3
"886";6;6;1;1;1;2;2;1;"1";43;"1";"2";"preprint_noinfo";3
"889";3;2;1;7;7;5;6;1;"1";42;"2";"2";"preprint_info";4
"890";6;5;5;4;3;6;6;1;"2";28;"2";"2";"preprint_info";4,6
"892";6;6;7;6;7;5;5;1;"2";25;"1";"1";"preprint_info";6,4
"895";4;5;3;3;3;4;4;1;"2";33;"1";"2";"peer-review";3,6
"896";7;6;4;7;2;4;5;1;"1";25;"2";"2";"peer-review";5,2
"897";6;6;3;4;2;2;3;1;"1";20;"1";"2";"peer-review";4,2
"898";2;5;1;4;1;5;3;1;"1";21;"1";"2";"preprint_noinfo";2,6
"900";5;5;2;6;4;4;5;1;"1";33;"1";"2";"preprint_info";4,4
"901";5;4;6;6;5;5;4;1;"2";33;"1";"1";"preprint_info";5,2
"903";3;5;4;2;3;5;6;1;"2";25;"1";"1";"peer-review";3,4
"904";5;5;6;4;5;6;5;1;"1";41;"2";"2";"preprint_noinfo";5
"906";5;4;4;5;5;3;4;1;"1";42;"1";"1";"peer-review";4,6
"908";4;3;2;4;3;3;4;1;"2";33;"2";"1";"preprint_noinfo";3,2
"910";6;5;6;6;5;5;5;1;"2";32;"1";"1";"preprint_info";5,6
"911";5;6;5;7;6;5;7;1;"1";41;"1";"1";"preprint_info";5,8
"912";4;4;2;2;5;3;3;1;"1";36;"1";"2";"peer-review";3,4
"915";5;4;4;3;3;4;5;1;"2";25;"2";"2";"peer-review";3,8
"916";6;3;5;7;3;4;3;1;"1";29;"2";"2";"preprint_info";4,8
"917";7;7;7;6;6;7;6;1;"2";29;"1";"1";"preprint_noinfo";6,6
"919";4;3;6;4;1;4;5;1;"1";39;"2";"2";"preprint_noinfo";3,6
"920";5;6;5;4;6;6;6;1;"1";41;"1";"1";"preprint_info";5,2
"921";5;5;2;4;2;2;4;1;"1";32;"1";"2";"peer-review";3,6
"924";6;6;6;6;6;6;5;1;"2";47;"1";"1";"peer-review";6
"925";4;6;3;5;5;4;3;1;"1";44;"1";"2";"preprint_info";4,6
"927";5;6;6;4;4;5;2;1;"2";37;"1";"2";"preprint_info";5
"928";6;6;6;5;7;5;5;1;"1";35;"1";"1";"preprint_noinfo";6
"929";3;5;2;6;5;5;5;1;"1";50;"2";"2";"preprint_noinfo";4,2
